Angle,I_normalized,Linear_Polarization,V_normalized,PA,PA_error,PA_filtered,PA_error_filtered,SN
-124.04692082111438,0.025643454122440016,-0.015573711444306798,0.0004670898778795172,,0.0,0.0,0.0,0.0
-123.6950146627566,-0.009374219896751777,-0.01704597152638477,0.008912099214155192,,0.0,0.0,0.0,0.0
-123.34310850439884,-0.037355237800433365,0.027205280329186156,0.004310114132225628,,0.0,0.0,0.0,0.0
-122.99120234604106,-0.03547619998602055,-0.015188753553858781,-0.0016193096148661467,,0.0,0.0,0.0,0.0
-122.6392961876833,-0.0022905478945949454,0.022851649630175615,-0.008763767262124677,,0.0,0.0,0.0,0.0
-122.28739002932552,0.009836989625250881,-0.025186059056858345,0.018809400181732855,,0.0,0.0,0.0,0.0
-121.93548387096776,0.037954956214364885,-0.024940873348486475,-0.0010016375927386742,,0.0,0.0,0.0,0.0
-121.58357771260998,0.035761380770267706,-0.015844685660256506,-0.005769418954137418,,0.0,0.0,0.0,0.0
-121.23167155425222,0.009178257960797628,-0.023711163315625314,-0.007797687399522702,,0.0,0.0,0.0,0.0
-120.87976539589444,0.003338327658342237,0.03701843737890185,0.002636798905608755,46.842856498296264,14.197088126864717,46.842856498296264,14.197088126864717,2.0904449796087325
-120.52785923753667,0.0057641267337014595,-0.02260317997474128,-0.010360569962155631,,0.0,0.0,0.0,0.0
-120.1759530791789,-0.0029079203570751,0.041185840562192474,0.01076787122929294,-72.39907012376624,12.694631757279367,107.60092987623376,12.694631757279367,2.3257797932678437
-119.82404692082113,-0.00289179406272779,-0.023806915117559467,0.006114361888024605,,0.0,0.0,0.0,0.0
-119.47214076246335,0.03225458575893436,0.02579930605918345,-0.006395548543640848,,0.0,0.0,0.0,0.0
-119.12023460410559,-0.026246667398923583,-0.02166699097546487,0.008842251889722109,,0.0,0.0,0.0,0.0
-118.76832844574781,0.03217979570032053,-0.01499451801902433,-0.013971112464676926,,0.0,0.0,0.0,0.0
-118.41642228739005,-0.010106793014269025,0.025483929376034067,-0.002813429258989286,,0.0,0.0,0.0,0.0
-118.06451612903226,-0.00010495172097017384,0.0114890200416489,-0.030188622724594844,,0.0,0.0,0.0,0.0
-117.71260997067448,0.007268914695397766,-0.023127411773866857,0.0005539856411075719,,0.0,0.0,0.0,0.0
-117.36070381231671,-0.008543091655266758,-0.015026633516291944,0.02100617092873476,,0.0,0.0,0.0,0.0
-117.00879765395894,0.019893456618770407,-0.014464493811466533,0.0011758415129759254,,0.0,0.0,0.0,0.0
-116.65689149560117,0.0019758854483908654,0.024128069548736718,0.0342834033970064,,0.0,0.0,0.0,0.0
-116.3049853372434,0.05427621396547076,-0.019919041389687333,-0.05366311522062568,,0.0,0.0,0.0,0.0
-115.95307917888563,-0.010789439523899868,0.008379393204078423,0.002805021618221215,,0.0,0.0,0.0,0.0
-115.60117302052785,-0.007960947407311254,-0.012248270360074726,0.0025435160314337926,,0.0,0.0,0.0,0.0
-115.24926686217009,-0.008615435310094162,-0.018928257726543263,0.004642111096687869,,0.0,0.0,0.0,0.0
-114.89736070381231,0.022561983883690975,-0.02211039216203551,-0.0075379192586897265,,0.0,0.0,0.0,0.0
-114.54545454545455,0.05438705103497858,-0.021836094535958108,0.022896042817058926,,0.0,0.0,0.0,0.0
-114.19354838709677,-0.014956913337394032,-0.018241709780282323,-0.010206746083257612,,0.0,0.0,0.0,0.0
